TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,acceptedname_ala,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,RowTree
Eucalyptus olivina,Eucalyptus olivina,Eucalyptus olivina,eucalyptus olivina,,Species ,D.Nicolle,319,"Forrestania, WA",32,23,3,119,45,2,20,30,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R020/T30
Eucalyptus olivina,Eucalyptus olivina,Eucalyptus olivina,eucalyptus olivina,,Species ,D.Nicolle,319,"Forrestania, WA",32,23,3,119,45,2,20,31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R020/T31
Eucalyptus olivina,Eucalyptus olivina,Eucalyptus olivina,eucalyptus olivina,,Species ,D.Nicolle,319,"Forrestania, WA",32,23,3,119,45,2,20,32,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R020/T32
Eucalyptus olivina,Eucalyptus olivina,Eucalyptus olivina,eucalyptus olivina,,Species ,D.Nicolle,319,"Forrestania, WA",32,23,3,119,45,2,20,33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R020/T33
Eucalyptus olivina,Eucalyptus olivina,Eucalyptus olivina,eucalyptus olivina,,Species ,D.Nicolle,319,"Forrestania, WA",32,23,3,119,45,2,20,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R020/T34
Eucalyptus olivina,Eucalyptus olivina,Eucalyptus olivina,eucalyptus olivina,,Species ,D.Nicolle,319,"Forrestania, WA",32,23,3,119,45,2,20,29,Dead,,,,,,,,,,,,1993,R020/T29
Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,eucalyptus viminalis subsp. hentyensis,,Subspecies,D.Nicolle,1969,"Zeehan, Tas",42,2,33,145,16,13,340,1,Alive,Moderate,None evident,??,None evident,,,,,Not applicable,,,2017,R340/T01
Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,eucalyptus viminalis subsp. hentyensis,,Subspecies,D.Nicolle,1969,"Zeehan, Tas",42,2,33,145,16,13,340,3,Alive,Moderate,Slight,?,None evident,,,,,Not applicable,,,2017,R340/T03
Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,eucalyptus viminalis subsp. hentyensis,,Subspecies,D.Nicolle,1969,"Zeehan, Tas",42,2,33,145,16,13,340,4,Alive,Moderate,Slight,?,None evident,,,,,Not applicable,,,2017,R340/T04
Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,Eucalyptus viminalis subsp. hentyensis,eucalyptus viminalis subsp. hentyensis,,Subspecies,D.Nicolle,1969,"Zeehan, Tas",42,2,33,145,16,13,340,2,Alive,None evident,None evident,?,,,,,,Not applicable,,,2017,R340/T02
"Eucalyptus socialis subsp. viridans
",Eucalyptus socialis subsp. viridans,Eucalyptus socialis subsp. viridans,eucalyptus socialis subsp. viridans,,Subspecies,D.Nicolle,2879,"Sherlock, SA",35,20,59,139,45,20,205,9,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2002,R205/T09
"Eucalyptus socialis subsp. viridans
",Eucalyptus socialis subsp. viridans,Eucalyptus socialis subsp. viridans,eucalyptus socialis subsp. viridans,,Subspecies,D.Nicolle,2879,"Sherlock, SA",35,20,59,139,45,20,205,10,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2002,R205/T10
